Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Pension Debt,Total Pay & Benefits
Is Engineer-Assistant,125918.6,0.0,617.24,37997.57,126535.84,0.0,164533.41
Community Police Services Aide,90429.0,30916.0,9032.31,34154.33,130377.31,0.0,164531.64
Regulatory Specialist,125054.51,0.0,1600.0,37874.75,126654.51,0.0,164529.26
Transit Operator,93109.0,22407.76,12210.83,36799.72,127727.59,0.0,164527.31
Electrical Transit System Mech,118522.93,4083.03,1770.0,40149.82,124375.96,0.0,164525.78
Locksmith,115431.0,7941.79,2443.0,38709.18,125815.79,0.0,164524.97
Transit Operator,93429.28,22954.42,11345.76,36794.15,127729.46,0.0,164523.61
Electrical Transit System Mech,114213.0,10456.0,555.0,39299.41,125224.0,0.0,164523.41
Special Nurse,153350.42,3934.47,7238.12,0.0,164523.01,0.0,164523.01
Transit Operator,93180.05,26603.27,8554.28,36177.22,128337.6,0.0,164514.82
Behavioral Health Clinician,125372.34,0.0,750.0,38383.99,126122.34,0.0,164506.33
Epidemiologist 2,125779.42,0.0,1000.0,37722.81,126779.42,0.0,164502.23
Community Police Services Aide,88754.55,33010.46,8999.73,33729.65,130764.74,0.0,164494.39
Sr. Community Devl Spc 1,125849.01,0.0,0.0,38644.89,125849.01,0.0,164493.9
Transit Operator,92589.89,30531.68,5843.79,35526.58,128965.36,0.0,164491.94
Truck Driver,108577.78,18602.62,57.0,37238.49,127237.4,0.0,164475.89
Transit Training Specialist,115044.81,207.53,9090.81,40130.04,124343.15,0.0,164473.19
Welder,106966.56,7319.35,11766.35,38405.65,126052.26,0.0,164457.91
Transit Operator,94622.15,18826.63,13418.26,37589.99,126867.04,0.0,164457.03
It Operations Support Admin Iv,121074.5,0.0,6385.73,36993.32,127460.23,0.0,164453.55
Sr Behavioral Health Clinicn,124980.81,379.35,1265.0,37824.3,126625.16,0.0,164449.46
"Sprv, Traffic & Street Signs",126352.3,0.0,0.0,38092.18,126352.3,0.0,164444.48
Pharmacy Technician,95572.92,33802.74,1547.68,33511.16,130923.34,0.0,164434.5
Training Officer,122765.6,0.0,0.0,37514.73,122765.6,4144.34,164424.67
Training Officer,122765.57,0.0,0.0,37514.72,122765.57,4144.33,164424.62
Training Officer,122765.54,0.0,0.0,37514.72,122765.54,4144.33,164424.59
Training Officer,122765.5,0.0,0.0,37514.72,122765.5,4144.33,164424.55
Dietitian,124744.22,0.0,1240.0,38423.89,125984.22,0.0,164408.11
Behavioral Health Clinician,123614.13,0.0,2310.0,38478.64,125924.13,0.0,164402.77
Emt/Paramedic/Firefighter,86821.36,7477.09,38028.17,28568.82,132326.62,3493.54,164388.98
Transit Operator,92646.41,20475.24,14317.94,36948.97,127439.59,0.0,164388.56
Medical Records Tech Sprv,111563.04,13867.6,2515.99,36439.16,127946.63,0.0,164385.79
Transit Operator,90891.67,31144.79,7206.44,35139.81,129242.9,0.0,164382.71
Arborist Technician,107465.0,15904.48,5921.05,35087.57,129290.53,0.0,164378.1
Transit Operator,93551.19,24918.98,9407.94,36499.4,127878.11,0.0,164377.51
Is Business Analyst,126270.5,0.0,0.0,38093.89,126270.5,0.0,164364.39
Transit Operator,95601.17,18102.91,12802.33,37853.96,126506.41,0.0,164360.37
Depty Sealer Of Weights & Meas,124686.58,0.0,1560.0,38108.73,126246.58,0.0,164355.31
Public Relations Officer,126445.02,0.0,0.0,37908.69,126445.02,0.0,164353.71
Health Program Coordinator 3,125630.5,0.0,750.0,37967.19,126380.5,0.0,164347.69
Police Officer 3,107986.83,0.0,20064.51,32481.92,128051.34,3798.24,164331.5
Automotive Mechanic,106513.28,3876.16,14962.62,38973.33,125352.06,0.0,164325.39
Stationary Engineer,117560.0,13755.9,0.0,33002.59,131315.9,0.0,164318.49
Librarian 2,124304.01,0.0,1416.4,38586.26,125720.41,0.0,164306.67
"Marriage, Family & Child Cnslr",123838.7,0.0,2036.01,38430.64,125874.71,0.0,164305.35
Registered Nurse,90205.43,29632.43,14401.54,30064.43,134239.4,0.0,164303.83
Sr. Environmental Spec,124644.09,0.0,1560.0,38097.39,126204.09,0.0,164301.48
Is Business Analyst,126487.43,0.0,0.0,37801.47,126487.43,0.0,164288.9
Librarian 2,124790.53,0.0,843.35,38632.87,125633.88,0.0,164266.75
Electric Motor Repairer,117186.51,7359.42,0.0,39719.23,124545.93,0.0,164265.16
Communications Dispatcher 2,75689.3,54232.36,5937.22,28402.8,135858.88,0.0,164261.68
Emp & Training Spec 4,123025.51,0.0,2598.0,38629.46,125623.51,0.0,164252.97
Contract Compliance Officer 1,126157.51,0.0,0.0,38088.89,126157.51,0.0,164246.4
Is Engineer-Assistant,126168.2,0.0,0.0,38074.84,126168.2,0.0,164243.04
Is Engineer-Assistant,126156.0,0.0,0.0,38072.62,126156.0,0.0,164228.62
Parking Control Officer,82730.06,43623.86,5194.83,32679.1,131548.75,0.0,164227.85
Behavioral Health Clinician,124311.01,0.0,1440.0,38474.63,125751.01,0.0,164225.64
Hospital Eligibility Worker,84981.5,37878.2,9178.47,32187.06,132038.17,0.0,164225.23
"Station Agent, Muni Railway",110965.17,7635.69,7410.54,38210.94,126011.4,0.0,164222.34
Emp & Training Spec 4,123025.51,0.0,2580.0,38614.96,125605.51,0.0,164220.47
Transit Operator,88098.0,31994.67,9711.51,34412.01,129804.18,0.0,164216.19
Public Defender'S Investigator,124545.0,0.0,1040.0,38623.32,125585.0,0.0,164208.32
Public Defender'S Investigator,124545.0,0.0,1040.0,38623.32,125585.0,0.0,164208.32
Librarian 2,124303.91,0.0,1329.58,38574.36,125633.49,0.0,164207.85
Behavioral Health Clinician,122272.62,636.17,3259.06,38034.36,126167.85,0.0,164202.21
Emp & Training Spec 4,123025.5,0.0,2550.0,38615.15,125575.5,0.0,164190.65
Electric Motor Repairer,116924.31,7401.0,195.0,39662.21,124520.31,0.0,164182.52
Sr. Community Devl Spc 1,125573.0,0.0,0.0,38594.63,125573.0,0.0,164167.63
Human Resources Analyst,125478.52,0.0,750.0,37936.89,126228.52,0.0,164165.41
Assistant Engineer,139498.56,0.0,0.0,24664.81,139498.56,0.0,164163.37
Emt/Paramedic/Firefighter,85550.4,33122.08,10482.57,31914.06,129155.05,3090.59,164159.7
Behavioral Health Clinician,123432.48,0.0,2310.0,38414.05,125742.48,0.0,164156.53
Behavioral Health Clinician,123434.47,0.0,2310.0,38407.49,125744.47,0.0,164151.96
Senior Human Resources Analyst,128593.91,0.0,0.0,35552.74,128593.91,0.0,164146.65
Librarian 2,123874.54,0.0,1655.54,38604.39,125530.08,0.0,164134.47
Assistant Engineer,126248.6,0.0,0.0,37882.21,126248.6,0.0,164130.81
Victim/Witness Investigator 3,125518.53,0.0,0.0,38611.91,125518.53,0.0,164130.44
Victim/Witness Investigator 3,125518.5,0.0,0.0,38611.91,125518.5,0.0,164130.41
Victim/Witness Investigator 3,125518.5,0.0,0.0,38611.91,125518.5,0.0,164130.41
Victim/Witness Investigator 3,125518.5,0.0,0.0,38611.9,125518.5,0.0,164130.4
Victim/Witness Investigator 3,125511.1,0.0,0.0,38618.27,125511.1,0.0,164129.37
Transportation Operations Spec,116021.7,10713.91,14371.57,23017.95,141107.18,0.0,164125.13
Transit Supervisor,102812.9,12666.78,10475.5,38168.13,125955.18,0.0,164123.31
Sr Payroll & Personnel Clerk,101204.05,25883.49,2310.0,34724.83,129397.54,0.0,164122.37
Police Officer 3,115704.35,0.0,9555.23,34790.99,125259.58,4065.33,164115.9
Senior Administrative Analyst,126071.52,0.0,0.0,38041.05,126071.52,0.0,164112.57
Behavioral Health Clinician,123397.78,0.0,2310.0,38397.87,125707.78,0.0,164105.65
Health Worker 4,103125.87,22780.69,3295.0,34899.59,129201.56,0.0,164101.15
Is Business Analyst,125727.7,0.0,0.0,38356.83,125727.7,0.0,164084.53
Electrical Transit System Mech,114172.62,10681.28,30.0,39196.14,124883.9,0.0,164080.04
Public Relations Officer,126212.0,0.0,0.0,37866.26,126212.0,0.0,164078.26
Eligibility Worker Supervisor,113796.0,13624.7,40.0,36616.96,127460.7,0.0,164077.66
General Laborer,85093.58,45300.57,2256.48,31425.27,132650.63,0.0,164075.9
Medical Social Worker,123954.9,0.0,1560.0,38558.73,125514.9,0.0,164073.63
Medical Social Worker,123943.07,0.0,1560.0,38568.79,125503.07,0.0,164071.86
Is Business Analyst,126186.79,0.0,0.0,37884.47,126186.79,0.0,164071.26
Attorney (Civil/Criminal),141733.8,0.0,0.0,22320.75,141733.8,0.0,164054.55
Pr Administrative Analyst,126233.91,0.0,0.0,37820.07,126233.91,0.0,164053.98
Transit Operator,89886.62,36089.36,3885.94,34191.72,129861.92,0.0,164053.64
Senior Administrative Analyst,126000.4,0.0,0.0,38034.44,126000.4,0.0,164034.84
Transit Operator,89778.15,30280.07,8984.69,34990.73,129042.91,0.0,164033.64
Hsa Sr Eligibility Worker,102652.13,21399.39,4500.0,35480.76,128551.52,0.0,164032.28
Senior Administrative Analyst,126024.52,0.0,10.1,37991.2,126034.62,0.0,164025.82
Technology Expert I,126786.51,0.0,660.0,36579.3,127446.51,0.0,164025.81
Transit Operator,89167.92,33766.28,6728.2,34361.91,129662.4,0.0,164024.31
Automotive Mechanic,96369.46,2848.92,26973.67,37830.95,126192.05,0.0,164023.0
Performance Analyst Ii,125961.55,0.0,0.0,38050.44,125961.55,0.0,164011.99
Performance Analyst Ii,125961.5,0.0,0.0,38050.4,125961.5,0.0,164011.9
Electrical Transit System Mech,114198.93,9961.93,555.0,39291.43,124715.86,0.0,164007.29
Senior Administrative Analyst,125975.51,0.0,0.0,38025.98,125975.51,0.0,164001.49
Sr Cent Proc & Dist Tech,112050.52,5493.0,8857.66,37590.4,126401.18,0.0,163991.58
Is Business Analyst,126281.34,0.0,0.0,37703.64,126281.34,0.0,163984.98
Survey Associate,125937.25,0.0,0.0,38046.63,125937.25,0.0,163983.88
Transit Operator,92028.97,24966.61,10822.75,36163.29,127818.33,0.0,163981.62
Behavioral Health Clinician,124311.04,0.0,1265.0,38405.57,125576.04,0.0,163981.61
Transit Supervisor,112320.26,6111.98,6285.27,39262.6,124717.51,0.0,163980.11
Pharmacy Technician,79728.6,30107.5,27307.65,26817.14,137143.75,0.0,163960.89
Medical Social Worker,121777.46,0.0,4103.58,38075.25,125881.04,0.0,163956.29
Firefighter,89323.68,25132.01,10204.24,36065.61,124659.93,3230.58,163956.12
Sr Behavioral Health Clinicn,124564.52,0.0,1000.0,38390.6,125564.52,0.0,163955.12
Transit Operator,91035.08,28255.35,9116.27,35545.6,128406.7,0.0,163952.3
Human Resources Analyst,126110.51,0.0,0.0,37838.53,126110.51,0.0,163949.04
Health Program Coordinator 2,125178.5,0.0,750.0,38009.14,125928.5,0.0,163937.64
Architectural Associate 1,125305.72,0.0,750.0,37880.98,126055.72,0.0,163936.7
Child Support Officer Iii,124311.06,0.0,1040.0,38583.36,125351.06,0.0,163934.42
"Marriage, Family & Child Cnslr",124311.06,0.0,1040.0,38583.36,125351.06,0.0,163934.42
Child Support Officer Iii,124311.05,0.0,1040.0,38583.36,125351.05,0.0,163934.41
Child Support Officer Iii,124311.04,0.0,1040.0,38583.35,125351.04,0.0,163934.39
Child Support Officer Iii,124311.03,0.0,1040.0,38583.35,125351.03,0.0,163934.38
Victim/Witness Investigator 3,125365.6,0.0,0.0,38567.28,125365.6,0.0,163932.88
Pr Fare Collections Receiver,123025.5,562.82,1082.0,39251.75,124670.32,0.0,163922.07
Protective Services Worker,116972.19,8067.94,3518.05,35362.19,128558.18,0.0,163920.37
Nutritionist,125232.63,0.0,750.0,37936.11,125982.63,0.0,163918.74
Librarian 2,124790.53,0.0,545.56,38582.25,125336.09,0.0,163918.34
Porter,75344.0,56310.21,2040.0,30219.71,133694.21,0.0,163913.92
Electrical Transit System Mech,114813.01,8647.35,975.0,39464.03,124435.36,0.0,163899.39
Deputy Probation Officer Sfers,116770.73,6893.25,1560.0,38673.5,125223.98,0.0,163897.48
Transit Operator,93570.59,25491.28,8491.02,36338.53,127552.89,0.0,163891.42
Transit Car Cleaner,81940.6,33184.87,14300.68,34463.0,129426.15,0.0,163889.15
Senior Human Resources Analyst,125167.01,0.0,900.0,37821.99,126067.01,0.0,163889.0
Commercial Div Asst Sprv,121870.04,0.0,0.0,41996.48,121870.04,0.0,163866.52
Manager I,125845.47,0.0,680.0,37338.51,126525.47,0.0,163863.98
Librarian 2,123903.66,0.0,1453.3,38506.95,125356.96,0.0,163863.91
Track Maintenance Worker,85275.4,44081.57,2745.0,31758.97,132101.97,0.0,163860.94
Human Resources Analyst,126035.5,0.0,0.0,37818.04,126035.5,0.0,163853.54
Special Nurse,128386.59,28661.56,6798.62,0.0,163846.77,0.0,163846.77
Firefighter,94218.95,18840.53,10211.33,37161.13,123270.81,3409.99,163841.93
Manager Ii,127470.51,0.0,0.0,36368.09,127470.51,0.0,163838.6
Planner 3-Environmental Review,124465.57,0.0,2812.28,36559.36,127277.85,0.0,163837.21
Is Business Analyst,125810.04,0.0,0.0,38016.15,125810.04,0.0,163826.19
Pharmacy Technician,110251.51,13929.58,3293.24,36350.56,127474.33,0.0,163824.89
Medical Social Worker,123467.52,0.0,2032.96,38323.24,125500.48,0.0,163823.72
Transit Operator,92417.44,31625.59,4530.1,35233.73,128573.13,0.0,163806.86
Transportation Planner Iii,125979.04,0.0,0.0,37823.83,125979.04,0.0,163802.87
Transit Operator,92753.5,23833.24,10809.84,36404.9,127396.58,0.0,163801.48
Emt/Paramedic/Firefighter,113811.1,14070.03,9874.29,21933.2,137755.42,4112.23,163800.85
Truck Driver,107233.49,17853.86,1444.81,37268.27,126532.16,0.0,163800.43
Biologist,121213.63,0.0,0.0,42585.99,121213.63,0.0,163799.62
Is Business Analyst,125787.0,0.0,0.0,38011.92,125787.0,0.0,163798.92
Senior Human Resources Analyst,132595.17,0.0,0.0,31199.68,132595.17,0.0,163794.85
Transit Operator,93734.3,19922.16,12962.38,37172.39,126618.84,0.0,163791.23
"Stationary Eng, Sewage Plant",115064.75,11620.11,1725.8,35376.14,128410.66,0.0,163786.8
Senior Real Property Appraiser,122613.52,0.0,3200.0,37958.82,125813.52,0.0,163772.34
Transit Operator,94715.47,27762.74,5094.7,36187.49,127572.91,0.0,163760.4
Transit Operator,90643.69,34758.21,3882.96,34470.39,129284.86,0.0,163755.25
Transit Operator,93442.73,26222.61,7869.41,36215.88,127534.75,0.0,163750.63
Senior Administrative Analyst,125129.51,0.0,750.0,37869.54,125879.51,0.0,163749.05
Protective Services Worker,117306.63,734.25,8512.24,37190.65,126553.12,0.0,163743.77
Transit Operator,90341.5,29727.22,8514.64,35146.27,128583.36,0.0,163729.63
General Laborer,84315.84,43430.42,4443.68,31534.47,132189.94,0.0,163724.41
Rent Board Supervisor,125721.04,0.0,0.0,38003.28,125721.04,0.0,163724.32
Behavioral Health Clinician,124311.1,0.0,1000.0,38405.62,125311.1,0.0,163716.72
Behavioral Health Clinician,124311.02,0.0,1000.0,38405.56,125311.02,0.0,163716.58
Behavioral Health Clinician,124311.02,0.0,1000.0,38405.55,125311.02,0.0,163716.57
Behavioral Health Clinician,124311.01,0.0,1000.0,38405.56,125311.01,0.0,163716.57
Behavioral Health Clinician,124311.0,0.0,1000.0,38405.55,125311.0,0.0,163716.55
Behavioral Health Clinician,124311.0,0.0,1000.0,38405.55,125311.0,0.0,163716.55
It Operations Support Admn Iii,119674.3,0.0,5964.22,38064.71,125638.52,0.0,163703.23
Eligibility Worker Supervisor,113796.0,13283.6,0.0,36609.68,127079.6,0.0,163689.28
Certified Nursing Assistant,81489.2,44099.77,8062.34,30037.61,133651.31,0.0,163688.92
Electrical Transit System Mech,114784.87,8763.74,720.0,39411.45,124268.61,0.0,163680.06
Sr. Community Devl Spc 1,125159.02,0.0,0.0,38519.25,125159.02,0.0,163678.27
Automotive Mechanic,108785.57,8294.98,7987.5,38605.23,125068.05,0.0,163673.28
Transit Operator,93023.17,25929.94,8589.61,36127.75,127542.72,0.0,163670.47
Behavioral Health Clinician,122892.33,0.0,2560.0,38215.1,125452.33,0.0,163667.43
Librarian 2,123817.35,0.0,1404.84,38442.84,125222.19,0.0,163665.03
Sr Public Defenders Invstgtor,124984.12,0.0,620.05,38059.48,125604.17,0.0,163663.65
Airport Communications Disp,95933.7,25940.2,7243.47,34535.74,129117.37,0.0,163653.11
Hsa Sr Eligibility Worker,104012.2,24094.75,450.0,35094.54,128556.95,0.0,163651.49
Senior Human Resources Analyst,125656.5,0.0,0.0,37990.81,125656.5,0.0,163647.31
Emt/Paramedic/Firefighter,110300.74,3194.94,10106.24,36105.2,123601.92,3938.69,163645.81
Truck Driver,109226.03,14347.67,2266.5,37804.61,125840.2,0.0,163644.81
Special Nurse,155673.69,1664.57,6301.4,0.0,163639.66,0.0,163639.66
Medical Social Worker,123625.64,0.0,1560.0,38452.75,125185.64,0.0,163638.39
Medical Social Worker,124246.02,0.0,1000.0,38391.59,125246.02,0.0,163637.61
Junior Engineer,123527.95,2472.52,0.0,37627.65,126000.47,0.0,163628.12
General Utility Mechanic,122791.58,394.61,0.0,40441.1,123186.19,0.0,163627.29
General Laborer,84446.15,38457.56,8474.68,32248.24,131378.39,0.0,163626.63
Transit Operator,94124.51,28542.54,5002.02,35956.06,127669.07,0.0,163625.13
Nurse Midwife,114149.49,26249.19,8838.34,14385.22,149237.02,0.0,163622.24
Senior Stationary Engineer,102058.51,28360.15,1007.5,32192.2,131426.16,0.0,163618.36
Librarian 2,123387.88,0.0,1748.94,38478.24,125136.82,0.0,163615.06
Transit Operator,95251.02,26444.02,5473.06,36445.14,127168.1,0.0,163613.24
Legal Assistant,119923.0,6654.82,0.0,37029.18,126577.82,0.0,163607.0
Commercial Div Asst Sprv,120275.02,0.0,0.0,43330.13,120275.02,0.0,163605.15
Accountant Iii,125632.2,0.0,0.0,37961.64,125632.2,0.0,163593.84
Survey Associate,125451.23,0.0,162.79,37970.35,125614.02,0.0,163584.37
"Counselor, Juvenile Hall Pers",88852.72,4124.81,2617.14,67988.55,95594.67,0.0,163583.22
"Claims Investigator, Ca",139979.54,0.0,0.0,23600.99,139979.54,0.0,163580.53
Therapy Aide,102307.52,24142.35,2305.0,34825.25,128754.87,0.0,163580.12
General Utility Mechanic,122791.54,0.0,300.0,40488.16,123091.54,0.0,163579.7
Senior Parking Control Officer,92766.0,33586.78,3261.09,33951.18,129613.87,0.0,163565.05
Librarian 2,124790.63,0.0,230.2,38526.9,125020.83,0.0,163547.73
Automotive Machinist,113198.03,11539.82,0.0,38802.47,124737.85,0.0,163540.32
Transportation Planner Iii,125746.07,0.0,0.0,37781.4,125746.07,0.0,163527.47
Transportation Planner Iii,125746.03,0.0,0.0,37781.4,125746.03,0.0,163527.43
Payroll Supervisor,122834.04,2594.87,0.0,38081.42,125428.91,0.0,163510.33
Is Engineer-Assistant,124943.5,0.0,750.0,37815.89,125693.5,0.0,163509.39
"Station Agent, Muni Railway",95957.09,26593.83,5254.12,35682.31,127805.04,0.0,163487.35
Deputy Sheriff (Sfers),106857.65,13217.93,3087.79,36679.18,123163.37,3644.42,163486.97
Assistant Engineer,125519.08,0.0,0.0,37962.78,125519.08,0.0,163481.86
Is Business Analyst-Senior,125527.5,0.0,0.0,37952.36,125527.5,0.0,163479.86
Water Meter Repairer,113660.6,8398.83,1965.0,39453.37,124024.43,0.0,163477.8
Sprv Adult Prob Ofc (Sfers),122972.52,655.05,48.0,39801.7,123675.57,0.0,163477.27
Transit Operator,92361.12,25466.53,9560.91,36086.97,127388.56,0.0,163475.53
Behavioral Health Clinician,124311.04,0.0,750.0,38405.57,125061.04,0.0,163466.61
Behavioral Health Clinician,124311.03,0.0,750.0,38405.57,125061.03,0.0,163466.6
Behavioral Health Clinician,124311.03,0.0,750.0,38405.57,125061.03,0.0,163466.6
Behavioral Health Clinician,124311.02,0.0,750.0,38405.56,125061.02,0.0,163466.58
Behavioral Health Clinician,124311.03,0.0,750.0,38405.55,125061.03,0.0,163466.58
Behavioral Health Clinician,124311.01,0.0,750.0,38405.56,125061.01,0.0,163466.57
Behavioral Health Clinician,124311.01,0.0,750.0,38405.56,125061.01,0.0,163466.57
Behavioral Health Clinician,124311.01,0.0,750.0,38405.55,125061.01,0.0,163466.56
Behavioral Health Clinician,124305.16,0.0,750.0,38410.6,125055.16,0.0,163465.76
Emt/Paramedic/Firefighter,108477.62,9007.62,5916.37,36227.29,123401.61,3835.83,163464.73
Transit Operator,93322.82,26942.11,7207.59,35988.04,127472.52,0.0,163460.56
Transit Operator,93884.88,28609.87,5114.01,35851.7,127608.76,0.0,163460.46
Registered Nurse,104021.07,22343.24,6965.01,30129.75,133329.32,0.0,163459.07
Stage Electrician,123557.06,0.0,30.0,39871.31,123587.06,0.0,163458.37
Eligibility Worker Supervisor,113796.02,13037.47,0.0,36609.68,126833.49,0.0,163443.17
Manager Ii,128818.04,0.0,0.0,34622.36,128818.04,0.0,163440.4
Manager Vii,132343.5,0.0,0.0,31090.82,132343.5,0.0,163434.32
Junior Engineer,123518.61,2275.78,0.0,37632.06,125794.39,0.0,163426.45
Media Production Supv,123557.0,0.0,0.0,39866.58,123557.0,0.0,163423.58
Stage Electrician,123557.0,0.0,0.0,39866.58,123557.0,0.0,163423.58
Health Program Coordinator 3,124677.54,0.0,925.0,37814.72,125602.54,0.0,163417.26
Librarian 2,124790.5,0.0,114.44,38508.32,124904.94,0.0,163413.26
Sr. Community Devl Spc 1,125175.62,0.0,0.0,38228.09,125175.62,0.0,163403.71
Human Resources Analyst,125693.73,0.0,0.0,37700.34,125693.73,0.0,163394.07
Protective Services Worker,124433.88,1398.74,0.0,37555.95,125832.62,0.0,163388.57
Transit Operator,94508.72,22440.53,9563.85,36864.06,126513.1,0.0,163377.16
Health Program Coordinator 3,125125.33,0.0,1560.0,36689.09,126685.33,0.0,163374.42
Chf Payroll & Personnel Clerk,117664.02,8421.95,0.0,37270.28,126085.97,0.0,163356.25
Behavioral Health Clinician,123826.3,0.0,1265.0,38263.45,125091.3,0.0,163354.75
Senior Management Assistant,123025.51,0.0,1040.0,39287.26,124065.51,0.0,163352.77
Pr Administrative Analyst,125050.0,0.0,750.0,37536.84,125800.0,0.0,163336.84
Protective Services Worker,109157.6,6004.61,11453.92,36717.89,126616.13,0.0,163334.02
Transit Supervisor,121950.81,17616.32,1341.32,22421.39,140908.45,0.0,163329.84
Senior Administrative Analyst,125402.12,0.0,0.0,37922.21,125402.12,0.0,163324.33
Parking Control Officer,84622.0,43350.51,2436.43,32905.12,130408.94,0.0,163314.06
Contract Compliance Officer 1,125356.84,0.0,0.0,37952.33,125356.84,0.0,163309.17
Transit Operator,93593.39,26626.22,6981.74,36104.81,127201.35,0.0,163306.16
Hsa Sr Eligibility Worker,102657.0,24107.71,1560.0,34972.93,128324.71,0.0,163297.64
Water & Power Maint Sprv 1,121103.66,4411.66,0.0,37780.44,125515.32,0.0,163295.76
Transit Operator,89664.5,29347.93,9265.81,35017.34,128278.24,0.0,163295.58
Automotive Mechanic,80801.31,24300.16,27517.59,30676.27,132619.06,0.0,163295.33
Electrician,112925.65,5487.29,9917.32,34961.4,128330.26,0.0,163291.66
Is Engineer-Journey,138054.4,0.0,0.0,25235.74,138054.4,0.0,163290.14
Firefighter,95622.51,19498.06,8368.09,36485.86,123488.66,3313.65,163288.17
Truck Driver,102977.61,20570.41,3710.53,36025.46,127258.55,0.0,163284.01
Sr Airport Communications Disp,123557.06,392.47,902.54,38431.26,124852.07,0.0,163283.33
Librarian 2,124790.52,0.0,0.0,38487.48,124790.52,0.0,163278.0
Occupational Therapist,126849.8,0.0,1230.0,35187.78,128079.8,0.0,163267.58
Program Support Analyst,124796.55,0.0,0.0,38466.73,124796.55,0.0,163263.28
Assistant Engineer,125338.54,0.0,0.0,37917.61,125338.54,0.0,163256.15
Transit Operator,89352.9,34509.18,5164.56,34200.97,129026.64,0.0,163227.61
Transit Operator,95497.84,24265.29,6697.45,36764.92,126460.58,0.0,163225.5
Carpenter,115431.0,749.24,8524.31,38508.34,124704.55,0.0,163212.89
Assistant Engineer,125291.1,0.0,0.0,37921.25,125291.1,0.0,163212.35
Park Section Supervisor,107071.01,12868.2,7240.68,36020.31,127179.89,0.0,163200.2
Health Program Coordinator 3,123697.61,0.0,1564.67,37927.62,125262.28,0.0,163189.9
Emt/Paramedic/Firefighter,115659.43,4142.13,5583.02,33806.34,125384.58,3994.68,163185.6
Transit Operator,92164.12,24661.41,10242.31,36113.72,127067.84,0.0,163181.56
Transit Supervisor,108439.77,8049.62,8241.25,38448.19,124730.64,0.0,163178.83
Behavioral Health Clinician,122519.0,0.0,2310.0,38345.28,124829.0,0.0,163174.28
Pharmacy Technician,110251.5,5065.18,10300.89,37554.33,125617.57,0.0,163171.9
Transit Operator,91069.52,27693.11,8930.89,35475.98,127693.52,0.0,163169.5
Survey Associate,125232.56,0.0,0.0,37936.05,125232.56,0.0,163168.61
Nutritionist,125226.59,0.0,0.0,37941.11,125226.59,0.0,163167.7
Automotive Mechanic,108326.76,11639.46,5275.92,37922.03,125242.14,0.0,163164.17
It Operations Support Admn Iii,119209.51,0.0,6124.22,37824.7,125333.73,0.0,163158.43
Chemist,125231.01,0.0,0.0,37926.4,125231.01,0.0,163157.41
"Stationary Eng, Sewage Plant",119539.88,5455.35,0.0,38161.22,124995.23,0.0,163156.45
Firefighter,76255.11,16512.38,40544.66,26743.51,133312.15,3100.14,163155.8
Maintenance Machinist,120688.64,2355.04,0.0,40081.84,123043.68,0.0,163125.52
Senior Administrative Analyst,125207.51,0.0,0.0,37905.51,125207.51,0.0,163113.02
Sr. Community Devl Spc 1,124676.03,0.0,0.0,38431.3,124676.03,0.0,163107.33
Emt/Paramedic/Firefighter,111558.92,12084.41,477.0,35196.1,124120.33,3783.23,163099.66
Ornamental Iron Worker,111563.02,8085.57,3174.0,40273.72,122822.59,0.0,163096.31
Transit Operator,90020.0,28787.86,10561.93,33721.67,129369.79,0.0,163091.46
Estate Investigator,115150.52,2451.98,9013.82,36474.34,126616.32,0.0,163090.66
Emt/Paramedic/Firefighter,88048.84,2447.46,40441.29,28669.2,130937.59,3482.94,163089.73
Senior Administrative Analyst,125183.51,0.0,0.0,37901.74,125183.51,0.0,163085.25
Automotive Mechanic,108798.51,1030.34,13709.85,39543.71,123538.7,0.0,163082.41
Assistant Engineer,126549.71,0.0,0.0,36530.58,126549.71,0.0,163080.29
Transit Operator,93502.47,25181.22,8121.02,36273.31,126804.71,0.0,163078.02
Truck Driver,87032.65,34671.38,9654.34,31714.99,131358.37,0.0,163073.36
Firefighter,90184.13,25059.41,9553.66,35016.59,124797.2,3259.16,163072.95
Automotive Mechanic,108798.53,8386.75,7411.75,38474.17,124597.03,0.0,163071.2
"Investigator, Police Accountab",124610.23,0.0,0.0,38459.66,124610.23,0.0,163069.89
Attorney (Civil/Criminal),126263.84,0.0,0.0,36804.12,126263.84,0.0,163067.96
Hospital Elig Wrk Supervisor,120465.02,1885.53,2710.0,38001.5,125060.55,0.0,163062.05
Head Park Ranger,109512.03,16634.86,884.41,36029.07,127031.3,0.0,163060.37
Biologist,125744.04,0.0,0.0,37316.02,125744.04,0.0,163060.06
Medical Evaluations Assistant,91793.42,32845.83,5589.67,32830.77,130228.92,0.0,163059.69
Transit Operator,91374.0,25274.98,10515.38,35890.47,127164.36,0.0,163054.83
Nursing Assistant,92792.76,25981.72,9929.27,34341.79,128703.75,0.0,163045.54
Truck Driver,109226.17,2255.92,12076.06,39483.23,123558.15,0.0,163041.38
Emp & Training Spec 4,123025.5,0.0,1560.0,38451.84,124585.5,0.0,163037.34
Emp & Training Spec 4,123025.5,0.0,1560.0,38451.84,124585.5,0.0,163037.34
Senior Personnel Clerk,92922.01,36146.6,0.0,33967.78,129068.61,0.0,163036.39
